Date,Open,High,Low,Close,Adj Close,Volume,Index
2023-01-03,33148.8984375,33387.51953125,32850.5703125,33136.37109375,33136.37109375,355930000.0,^DJI
2023-01-04,33165.140625,33409.1015625,33033.48046875,33269.76953125,33269.76953125,379400000.0,^DJI
2023-01-05,33191.71875,33191.71875,32812.328125,32930.078125,32930.078125,337920000.0,^DJI
2023-01-06,33055.30078125,33710.66015625,32997.390625,33630.609375,33630.609375,360740000.0,^DJI
2023-01-09,33664.390625,33935.109375,33487.66015625,33517.6484375,33517.6484375,327840000.0,^DJI
2023-01-10,33516.4296875,33726.5390625,33421.80078125,33704.1015625,33704.1015625,268260000.0,^DJI
2023-01-11,33754.03125,33974.69140625,33711.0390625,33973.01171875,33973.01171875,301650000.0,^DJI
2023-01-12,34047.859375,34292.671875,33792.1015625,34189.96875,34189.96875,308190000.0,^DJI
2023-01-13,34075.30859375,34342.3203125,33915.48828125,34302.609375,34302.609375,274110000.0,^DJI
2023-01-17,34222.3203125,34269.96875,33860.671875,33910.8515625,33910.8515625,353050000.0,^DJI
2023-01-18,33948.48828125,34016.53125,33269.8984375,33296.9609375,33296.9609375,351670000.0,^DJI
2023-01-19,33171.3515625,33227.48828125,32982.05078125,33044.55859375,33044.55859375,319770000.0,^DJI
2023-01-20,33073.4609375,33381.94921875,32948.9296875,33375.48828125,33375.48828125,367330000.0,^DJI
2023-01-23,33439.55859375,33782.87890625,33316.25,33629.55859375,33629.55859375,355220000.0,^DJI
2023-01-24,33444.71875,33782.921875,33310.55859375,33733.9609375,33733.9609375,299310000.0,^DJI
2023-01-25,33538.359375,33773.08984375,33273.2109375,33743.83984375,33743.83984375,341720000.0,^DJI
2023-01-26,33771.66015625,33953.7890625,33635.6015625,33949.41015625,33949.41015625,327000000.0,^DJI
2023-01-27,33952.9296875,34164.328125,33830.8515625,33978.078125,33978.078125,441260000.0,^DJI
2023-01-30,33909.2109375,34055.2890625,33695.1796875,33717.08984375,33717.08984375,343920000.0,^DJI
2023-01-31,33803.55859375,34095.23046875,33664.91015625,34086.0390625,34086.0390625,360240000.0,^DJI
2023-02-01,34039.6015625,34334.69921875,33581.421875,34092.9609375,34092.9609375,370120000.0,^DJI
2023-02-02,34129.30078125,34145.140625,33814.78125,34053.94140625,34053.94140625,429910000.0,^DJI
2023-02-03,33926.30078125,34179.578125,33813.859375,33926.01171875,33926.01171875,425150000.0,^DJI
2023-02-06,33874.44140625,33962.83984375,33683.578125,33891.01953125,33891.01953125,296400000.0,^DJI
2023-02-07,33769.78125,34240.0,33634.1015625,34156.69140625,34156.69140625,361620000.0,^DJI
2023-02-08,34132.8984375,34161.6484375,33899.7890625,33949.01171875,33949.01171875,324090000.0,^DJI
