date,DJI,GSPC,IXIC
2001-01-02,10646.150390625,1283.27001953125,2291.860107421875
2001-01-03,10945.75,1347.56005859375,2616.68994140625
2001-01-04,10912.41015625,1333.3399658203125,2566.830078125
2001-01-05,10662.009765625,1298.3499755859375,2407.64990234375
2001-01-08,10621.349609375,1295.8599853515625,2395.919921875
2001-01-09,10572.5498046875,1300.800048828125,2441.300048828125
2001-01-10,10604.26953125,1313.27001953125,2524.179931640625
2001-01-11,10609.5498046875,1326.8199462890625,2640.570068359375
2001-01-12,10525.3798828125,1318.550048828125,2626.5
2001-01-16,10652.66015625,1326.6500244140625,2618.550048828125
2001-01-17,10584.33984375,1329.469970703125,2682.780029296875
2001-01-18,10678.2802734375,1347.969970703125,2768.489990234375
2001-01-19,10587.58984375,1342.5400390625,2770.3798828125
2001-01-22,10578.240234375,1342.9000244140625,2757.909912109375
2001-01-23,10649.8095703125,1360.4000244140625,2840.389892578125
2001-01-24,10646.9697265625,1364.300048828125,2859.14990234375
2001-01-25,10729.51953125,1357.510009765625,2754.280029296875
2001-01-26,10659.98046875,1354.949951171875,2781.300048828125
2001-01-29,10702.1904296875,1364.1700439453125,2838.340087890625
2001-01-30,10881.2001953125,1373.72998046875,2838.35009765625
2001-01-31,10887.3603515625,1366.010009765625,2772.72998046875
2001-02-01,10983.6298828125,1373.469970703125,2782.7900390625
2001-02-02,10864.099609375,1349.469970703125,2660.5
2001-02-05,10965.849609375,1354.31005859375,2643.2099609375
2001-02-06,10957.419921875,1352.260009765625,2664.489990234375
2001-02-07,10946.7197265625,1340.8900146484375,2607.820068359375
2001-02-08,10880.5498046875,1332.530029296875,2562.06005859375
2001-02-09,10781.4501953125,1314.760009765625,2470.969970703125
2001-02-12,10946.76953125,1330.31005859375,2489.659912109375
2001-02-13,10903.3203125,1318.800048828125,2427.719970703125
2001-02-14,10795.41015625,1315.9200439453125,2491.39990234375
2001-02-15,10891.01953125,1326.6099853515625,2552.909912109375
2001-02-16,10799.8203125,1301.530029296875,2425.3798828125
2001-02-20,10730.8798828125,1278.93994140625,2318.35009765625
2001-02-21,10526.580078125,1255.27001953125,2268.93994140625
2001-02-22,10526.8095703125,1252.8199462890625,2244.9599609375
2001-02-23,10441.900390625,1245.8599853515625,2262.510009765625
2001-02-26,10642.5302734375,1267.6500244140625,2308.5
2001-02-27,10636.8798828125,1257.93994140625,2207.820068359375
2001-02-28,10495.2802734375,1239.93994140625,2151.830078125
2001-03-01,10450.1396484375,1241.22998046875,2183.3701171875
2001-03-02,10466.3095703125,1234.1800537109375,2117.6298828125
2001-03-05,10562.2998046875,1241.4100341796875,2142.919921875
2001-03-06,10591.2197265625,1253.800048828125,2204.429931640625
2001-03-07,10729.599609375,1261.8900146484375,2223.919921875
2001-03-08,10858.25,1264.739990234375,2168.72998046875
2001-03-09,10644.6201171875,1233.4200439453125,2052.780029296875
2001-03-12,10208.25,1180.1600341796875,1923.3800048828125
2001-03-13,10290.7998046875,1197.6600341796875,2014.780029296875
2001-03-14,9973.4599609375,1166.7099609375,1972.0899658203125
2001-03-15,10031.2802734375,1173.56005859375,1940.7099609375
2001-03-16,9823.41015625,1150.530029296875,1890.9100341796875
2001-03-19,9959.1103515625,1170.81005859375,1951.1800537109375
2001-03-20,9720.759765625,1142.6199951171875,1857.43994140625
2001-03-21,9487.0,1122.1400146484375,1830.22998046875
2001-03-22,9389.48046875,1117.5799560546875,1897.699951171875
2001-03-23,9504.7802734375,1139.8299560546875,1928.6800537109375
2001-03-26,9687.5302734375,1152.68994140625,1918.489990234375
2001-03-27,9947.5400390625,1182.1700439453125,1972.22998046875
2001-03-28,9785.349609375,1153.2900390625,1854.1300048828125
2001-03-29,9799.0595703125,1147.949951171875,1820.5699462890625
2001-03-30,9878.7802734375,1160.3299560546875,1840.260009765625
2001-04-02,9777.9296875,1145.8699951171875,1782.969970703125
2001-04-03,9485.7099609375,1106.4599609375,1673.0
2001-04-04,9515.419921875,1103.25,1638.800048828125
2001-04-05,9918.0498046875,1151.43994140625,1785.0
2001-04-06,9791.08984375,1128.4300537109375,1720.3599853515625
2001-04-09,9845.150390625,1137.5899658203125,1745.7099609375
2001-04-10,10102.740234375,1168.3800048828125,1852.030029296875
2001-04-11,10013.4697265625,1165.8900146484375,1898.949951171875
2001-04-12,10126.9404296875,1183.5,1961.4300537109375
2001-04-16,10158.5595703125,1179.6800537109375,1909.5699462890625
2001-04-17,10216.73046875,1191.81005859375,1923.219970703125
2001-04-18,10615.830078125,1238.1600341796875,2079.43994140625
2001-04-19,10693.7099609375,1253.68994140625,2182.139892578125
2001-04-20,10579.849609375,1242.97998046875,2163.409912109375
2001-04-23,10532.23046875,1224.3599853515625,2059.320068359375
2001-04-24,10454.33984375,1209.469970703125,2016.6099853515625
2001-04-25,10625.2001953125,1228.75,2059.800048828125
2001-04-26,10692.349609375,1234.52001953125,2034.8800048828125
2001-04-27,10810.0498046875,1253.050048828125,2075.679931640625
2001-04-30,10734.9697265625,1249.4599609375,2116.239990234375
2001-05-01,10898.33984375,1266.43994140625,2168.239990234375
2001-05-02,10876.6796875,1267.4300537109375,2220.60009765625
2001-05-03,10796.650390625,1248.5799560546875,2146.199951171875
2001-05-04,10951.240234375,1266.6099853515625,2191.530029296875
2001-05-07,10935.169921875,1263.510009765625,2173.570068359375
2001-05-08,10883.509765625,1261.199951171875,2198.77001953125
2001-05-09,10866.98046875,1255.5400390625,2156.6298828125
