Date,Open,High,Low,Close,Adj Close,Volume,ticker
2023-01-03,130.27999877929688,130.89999389648438,124.16999816894533,125.06999969482422,125.06999969482422,112117500,AAPL
2023-01-04,126.88999938964844,128.66000366210938,125.08000183105467,126.36000061035156,126.36000061035156,89113600,AAPL
2023-01-05,127.12999725341795,127.7699966430664,124.76000213623048,125.0199966430664,125.0199966430664,80962700,AAPL
2023-01-06,126.01000213623048,130.2899932861328,124.88999938964844,129.6199951171875,129.6199951171875,87754700,AAPL
2023-01-09,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,130.14999389648438,70790800,AAPL
2023-01-10,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,130.72999572753906,63896200,AAPL
2023-01-11,131.25,133.50999450683594,130.4600067138672,133.49000549316406,133.49000549316406,69458900,AAPL
2023-01-12,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,133.41000366210938,71379600,AAPL
2023-01-13,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,134.75999450683594,57809700,AAPL
2023-01-17,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,135.94000244140625,63646600,AAPL
2023-01-18,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,135.2100067138672,69672800,AAPL
2023-01-19,134.0800018310547,136.25,133.77000427246094,135.27000427246094,135.27000427246094,58280400,AAPL
2023-01-20,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,137.8699951171875,80223600,AAPL
2023-01-23,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,141.11000061035156,81760300,AAPL
2023-01-24,140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,142.52999877929688,66435100,AAPL
2023-01-25,140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,141.86000061035156,65799300,AAPL
2023-01-26,143.1699981689453,144.25,141.89999389648438,143.9600067138672,143.9600067138672,54105100,AAPL
2023-01-27,143.16000366210938,147.22999572753906,143.0800018310547,145.92999267578125,145.92999267578125,70555800,AAPL
